cliente_id,recency,frequency,monetary
1,434,4,17074.39
2,41,1,3459.5499999999997
4,537,2,6090.17
5,358,4,10030.69
6,368,2,3771.25
7,178,2,8426.99
8,557,4,9445.83
9,195,1,4664.530000000001
10,712,3,4802.02
11,267,1,1753.09
12,507,3,1153.6399999999999
13,781,3,11970.88
14,4,4,14301.970000000001
15,35,1,2068.01
16,331,2,5163.84
17,254,4,17124.4
18,89,3,9432.31
19,7,3,9296.82
21,290,4,5300.93
22,506,2,6398.610000000001
23,76,1,1616.6100000000001
24,149,2,5843.900000000001
25,102,4,11958.53
26,607,1,1448.57
27,80,2,4054.77
29,228,3,3698.94
30,15,3,11370.98
31,574,3,12082.08
32,51,1,3521.6600000000003
33,145,1,2107.1
34,107,3,15277.390000000001
35,315,2,5456.44
36,795,1,3609.4300000000003
37,255,5,16751.940000000002
38,161,5,17989.03
39,69,5,9429.710000000001
40,566,4,11464.98
41,245,3,7636.06
42,48,2,4875.889999999999
43,26,4,12963.82
44,565,4,17235.54
45,472,2,1978.84
46,293,2,3948.11
47,51,3,9682.42
48,238,4,8292.4
50,459,3,7120.08
51,546,1,3620.62
52,207,5,10468.05
53,354,2,5046.77
54,795,1,1766.99
55,495,3,5997.67
56,969,1,4619.93
57,623,3,8219.02
58,532,1,3819.4
59,145,4,10495.01
60,331,2,3646.43
61,195,5,19169.010000000002
63,714,1,4502.79
64,360,4,13109.52
65,381,2,4203.88
66,680,2,676.23
67,495,1,1852.8400000000001
68,428,3,4499.34
69,327,3,7507.49
70,501,3,4007.36
71,54,2,2088.6800000000003
72,110,2,7326.99
73,543,2,9145.6
74,830,1,1240.81
75,804,4,8842.21
76,137,1,1220.0
77,517,2,2358.79
78,434,2,4319.59
79,212,1,1509.98
80,120,3,5178.77
81,354,3,6252.7300000000005
82,412,5,12626.289999999999
83,12,2,10477.75
84,1018,1,2733.06
86,741,1,2085.92
87,20,3,14272.95
88,112,1,1498.44
89,362,1,4120.860000000001
90,427,3,9296.91
91,78,4,13044.42
92,58,3,5910.07
93,61,4,11086.65
94,483,2,7573.02
95,753,4,13964.79
96,20,3,5837.43
97,229,2,12207.630000000001
98,227,1,3489.44
99,289,1,800.6
100,51,5,14770.37
102,783,2,2440.21
103,311,3,3765.76
104,843,1,4212.46
105,371,2,6827.32
106,218,5,14802.26
107,171,2,5391.79
108,531,1,400.3
109,432,3,6271.0599999999995
110,724,1,4715.66
112,152,1,1063.49
113,1029,1,3094.21
114,513,4,14830.41
115,870,2,7925.12
116,478,2,5226.72
117,110,1,93.2
118,290,2,2543.04
119,171,4,20260.43
120,255,2,4279.87
121,861,2,5464.900000000001
122,581,2,4492.05
123,307,3,12461.23
124,370,3,7372.33
125,435,3,5593.14
126,1053,1,3403.1800000000003
127,913,1,2000.3500000000001
128,264,4,19979.100000000002
129,719,2,4056.76
130,121,5,13215.85
132,858,4,7018.76
133,661,2,6733.82
135,563,3,15811.67
136,140,3,10991.07
137,143,2,6737.990000000001
138,121,4,5591.79
139,88,2,6884.16
140,279,2,7319.05
142,875,1,2306.11
143,369,2,6386.46
144,340,5,15374.74
147,96,2,3488.6
148,628,3,9622.67
149,149,2,1902.75
151,157,3,9291.13
152,617,1,2513.73
153,643,2,2703.7200000000003
154,344,3,8226.44
155,244,6,15733.65
156,129,6,22978.48
157,751,2,8021.04
158,874,1,2134.29
159,47,3,8173.31
160,187,2,3983.07
161,31,2,5534.89
162,17,3,8680.41
163,128,3,7879.96
164,165,2,3672.61
165,445,3,9429.19
166,118,1,1626.13
167,470,4,8861.26
168,120,6,22721.66
169,790,1,1075.17
170,183,4,6071.0
172,120,2,7296.2699999999995
173,144,2,3203.1199999999994
175,170,4,16238.4
176,402,4,9973.75
177,532,1,2096.87
178,320,3,6900.34
180,243,2,4974.51
181,142,1,4292.87
182,855,2,10615.7
183,601,2,8326.369999999999
184,14,1,1621.5500000000002
185,26,3,11957.55
186,26,6,14528.240000000002
187,195,2,7943.35
188,202,3,6857.6900000000005
190,847,1,58.8
191,156,2,7213.64
192,27,4,4699.070000000001
193,183,1,798.3
194,336,3,13160.23
195,100,2,3274.9
197,87,4,14527.69
198,103,4,13810.470000000001
199,10,4,6173.89
200,570,4,9569.18
201,173,3,10776.17
202,561,1,888.56
203,522,2,7925.27
204,487,1,1602.37
205,244,4,16300.42
206,388,1,1579.35
207,57,4,14491.16
208,235,4,11921.62
209,409,2,3820.3199999999997
210,358,4,8928.35
211,313,4,10071.08
212,100,5,15102.43
213,46,1,2246.29
214,112,4,14452.26
215,234,1,3427.2700000000004
217,931,1,3366.76
218,218,1,1474.96
219,1088,1,6946.0
220,226,6,6574.37
221,777,1,1685.6100000000001
222,940,1,2928.1
223,317,1,1375.26
224,15,3,8030.58
226,637,2,4276.75
227,885,1,2979.75
228,202,5,17079.13
229,24,6,25949.940000000002
230,678,2,4523.32
232,987,2,8192.87
233,211,4,14191.97
234,297,2,8049.05
235,76,4,6563.12
236,966,2,14018.59
237,216,3,8742.53
238,970,1,7736.25
239,583,2,4905.21
240,76,3,7686.5
241,230,2,794.19
242,261,2,9432.84
243,8,5,10421.29
244,873,1,2546.24
245,3,5,11147.11
246,769,2,9110.880000000001
248,28,2,7580.42
249,856,1,1728.72
250,935,2,7886.05
251,114,2,2763.9300000000003
252,343,5,15823.27
253,872,2,5587.9
254,352,3,6793.8
255,794,3,5858.19
256,299,3,20381.13
257,161,5,14391.49
258,878,1,4510.12
259,733,2,4268.2300000000005
261,168,2,7707.08
262,540,2,5316.22
263,269,1,3858.14
264,263,5,11390.08
265,483,2,5315.01
266,126,1,5389.1900000000005
267,111,2,3426.42
268,804,1,1542.54
269,156,5,17353.5
270,430,2,4605.23
271,641,2,1602.62
272,470,2,4302.18
273,82,3,4008.36
274,679,2,4334.2
275,702,1,4139.84
276,141,2,5337.14
277,129,4,8876.13
278,151,5,16286.28
279,174,1,3727.31
280,248,4,11092.65
281,30,3,11177.78
282,64,11,30798.95
283,117,4,15317.869999999999
284,607,2,2356.86
285,159,4,11644.789999999999
286,714,1,1309.9299999999998
287,359,4,16908.26
288,421,1,6148.030000000001
289,36,3,10182.380000000001
290,109,2,2168.08
291,754,2,2385.6800000000003
292,4,3,732.37
293,378,2,6832.07
297,35,5,13605.57
299,132,3,13413.81
300,155,2,4695.13
301,1055,1,3240.0
302,652,2,5340.46
303,57,4,7484.74
304,185,1,2097.41
